
object_id,mjd,passband,flux,flux_err,detected
615,59750.4229,2,-544.810303,3.622952,1
615,59750.4306,1,-816.434326,5.553370,1
615,59750.4383,3,-471.385529,3.801213,1
615,59750.4450,4,-388.984985,11.395031,1
615,59752.4070,2,-681.858887,4.041204,1
615,59752.4147,1,-1061.457031,6.472994,1
615,59752.4224,3,-524.954590,3.552751,1
615,59752.4334,4,-393.480225,3.599346,1
615,59752.4435,5,-355.886780,10.421921,1
615,59767.2968,2,-548.013550,3.462291,1
615,59767.3045,1,-815.188599,5.293019,1
615,59767.3122,3,-475.516052,3.340643,1
615,59767.3233,4,-405.663818,3.496113,1
615,59767.3343,5,-421.199066,6.377517,1
615,59770.2179,2,-554.903198,3.927843,1
615,59770.2256,1,-820.042786,5.875329,1
615,59770.2334,3,-477.004730,3.736262,1
615,59770.2445,4,-400.270386,3.834955,1
615,59770.2557,5,-415.286896,7.435979,1
615,59779.3188,2,-630.523682,4.333287,1
615,59779.3265,1,-921.002502,6.306800,1
615,59779.3342,3,-518.533997,3.915225,1
615,59779.3452,4,-422.184509,4.089213,1
615,59779.3562,5,-422.815094,8.124096,1
615,59782.1897,2,-280.039520,2.819228,1
615,59782.1974,1,-449.095612,4.028310,1
615,59782.2051,3,-316.704865,3.491153,1
615,59782.2162,4,-332.885437,4.021619,1
615,59782.2274,5,-365.075775,8.514805,1
615,59797.2861,2,391.399231,3.098059,1
615,59797.2938,1,35.511822,3.163646,1
615,59797.3015,3,330.623901,3.388776,1
615,59797.3126,4,360.397858,3.980607,1
615,59797.3237,5,369.439667,8.207490,1
615,59800.3168,2,168.739899,3.128495,1
615,59800.3244,1,129.541901,4.358776,1
615,59800.3320,3,30.120724,3.396606,1
615,59800.3429,4,-60.942333,3.704243,1
615,59800.3539,5,-128.920334,7.495701,1
615,59807.1738,2,-256.660980,2.781354,1
615,59807.1815,1,-420.796417,4.037735,1
615,59807.1892,3,-298.936859,3.041390,1
615,59807.2003,4,-311.977783,3.318007,1
615,59807.2114,5,-344.536072,6.367201,1
615,59810.1045,2,-342.819763,2.808321,1
615,59810.1122,1,-527.020325,4.204173,1
615,59810.1200,3,-363.282532,3.237536,1
615,59810.1311,4,-348.628662,3.774855,1
615,59810.1422,5,-391.271271,7.657067,1
615,59813.1044,2,-678.045715,4.032819,1
615,59813.1122,1,-1100.440063,6.709106,1
615,59813.1199,3,-506.687408,3.547398,1
615,59813.1310,4,-304.049713,3.590496,1
615,59813.1422,5,-187.285919,6.984019,1
615,59819.1532,0,6.878784,3.633152,0
615,59820.1047,0,39.364853,3.775619,1
615,59821.1026,0,-10.422381,4.172683,0
615,59822.1105,0,-65.485130,4.362876,1
615,59823.1505,0,-113.349159,4.069051,1
615,59835.0600,2,-54.949490,2.575779,1
615,59835.0678,1,-178.149399,3.809858,1
615,59835.0755,3,-140.818436,3.149077,1
615,59835.0866,4,-200.294128,3.578005,1
615,59835.0978,5,-263.578430,6.954262,1
615,59839.0306,2,-639.035950,3.928531,1
615,59839.0384,1,-953.883728,6.035410,1
615,59839.0461,3,-518.293274,3.595869,1
615,59839.0573,4,-418.723907,3.536483,1
615,59839.0684,5,-418.799927,6.580595,1
615,59842.0207,2,-502.215332,3.348443,1
615,59842.0285,1,-1003.971497,6.256784,1
615,59842.0362,3,-233.167755,2.872840,1
615,59842.0473,4,111.507675,3.229112,1
615,59842.0585,5,206.425323,6.615822,1
615,59851.1114,0,-68.502457,3.338555,1
615,59854.0796,2,459.452667,3.336711,1
615,59854.0873,1,217.894211,3.332742,1
615,59854.0950,3,361.023438,3.237847,1
615,59854.1061,4,374.446442,3.622074,1
615,59854.1172,5,370.346283,6.789766,1
615,59857.0453,2,599.812195,4.121032,1
615,59857.0531,1,646.523193,5.291624,1
615,59857.0608,3,354.961365,3.407785,1
615,59857.0719,4,293.879608,3.581862,1
615,59857.0830,5,232.535995,6.761845,1
615,59864.0162,2,-637.105347,3.818432,1
615,59864.0239,1,-942.167908,5.916004,1
615,59864.0316,3,-524.586548,3.538931,1
615,59864.0428,4,-414.447723,3.635253,1
615,59864.0539,5,-408.089233,7.119730,1
615,59867.0178,2,-332.763123,2.872951,1
615,59867.0255,1,-910.677734,5.852032,1
615,59867.0332,3,-62.065010,3.073413,1
615,59867.0443,4,202.288223,4.026751,1
615,59867.0554,5,270.584869,10.321785,1
615,59870.0194,2,604.344543,3.901750,1
615,59870.0272,1,659.486694,4.991051,1
615,59870.0349,3,373.986511,3.294667,1
615,59870.0459,4,322.604034,3.716555,1
615,59870.0571,5,263.481476,7.193131,1
615,59873.0212,2,4.656033,2.130510,0
615,59873.0289,1,-98.796974,3.034533,1
615,59873.0366,3,-93.732880,2.499724,1
615,59873.0477,4,-165.793457,2.906058,1
615,59873.0588,5,-233.501724,6.087882,1
615,59874.0599,0,-97.353195,3.133990,1
615,59875.0311,0,-97.523880,2.963075,1
615,59876.0231,0,-108.672577,3.449714,1
615,59877.0238,0,-116.913223,3.097836,1
615,59878.0246,0,-102.768921,3.135772,1
615,59879.0248,0,-52.407089,3.261559,1
615,59880.0258,0,55.567715,3.355268,1
615,59884.0823,2,-274.711029,2.572093,1
615,59884.0900,1,-437.425110,3.831595,1
615,59884.0976,3,-310.010925,2.957125,1
615,59884.1085,4,-317.630920,3.213168,1
615,59884.1195,5,-351.278198,6.231324,1
615,59887.0298,2,-491.146423,3.592675,1
615,59887.0375,1,-743.267212,5.624708,1
615,59887.0451,3,-449.714752,3.728483,1
615,59887.0562,4,-393.971649,3.532816,1
615,59887.0673,5,-406.549103,6.648589,1
615,60118.4163,0,-107.080536,3.102513,1
615,60124.2541,2,-588.397949,4.176047,1
615,60124.2618,1,-878.043396,6.210247,1
615,60124.2695,3,-495.472015,4.011444,1
615,60124.2807,4,-417.145325,4.094360,1
615,60124.2918,5,-413.673431,7.793959,1
615,60140.2290,0,-88.981155,3.468430,1
615,60141.2225,0,-50.179337,4.734193,1
615,60142.2202,0,50.008640,4.636651,1
615,60143.2212,0,110.753555,4.380840,1
615,60144.2186,0,120.867218,4.103332,1
615,60145.2123,0,111.464226,4.367030,1
615,60153.2274,2,-322.420471,2.833071,1
615,60153.2351,1,-917.875488,5.951387,1
615,60153.2428,3,-52.056461,2.698249,1
615,60153.2539,4,205.180893,3.169676,1
615,60153.2650,5,269.709167,6.682271,1
615,60162.1477,2,31.499735,2.753767,1
615,60162.1554,1,-62.120552,3.818642,1
615,60162.1631,3,-72.958771,3.515574,1
615,60162.1742,4,-151.126511,3.838288,1
615,60162.1853,5,-216.914032,8.832489,1
615,60165.1369,2,-568.408875,3.553168,1
615,60165.1446,1,-836.233154,5.405759,1
615,60165.1524,3,-483.071381,3.387615,1
615,60165.1635,4,-409.470642,3.541994,1
615,60165.1746,5,-412.820221,6.907444,1
615,60168.1260,2,-628.321350,3.804775,1
615,60168.1337,1,-1077.347900,6.591075,1
615,60168.1414,3,-421.859406,3.336656,1
615,60168.1525,4,-93.729095,3.211201,1
615,60168.1637,5,31.207939,6.615005,0
615,60176.1332,0,-49.905262,3.874426,1
615,60177.1370,0,-87.160583,4.078375,1
615,60181.3147,2,-180.729568,2.498579,1
615,60181.3223,1,-339.875153,3.626661,1
615,60181.3299,3,-249.205673,3.280824,1
615,60181.3409,4,-275.762329,4.694962,1
615,60181.3518,5,-330.891327,9.580047,1
615,60184.3625,2,-555.853943,3.979171,1
615,60184.3701,1,-1028.441528,6.719577,1
615,60184.3777,3,-306.200500,3.557627,1
615,60184.3887,4,49.555847,3.627351,1
615,60184.3996,5,154.876785,7.988054,1
615,60194.1575,2,469.654999,3.386857,1
615,60194.1652,1,276.757751,3.594162,1
615,60194.1729,3,374.669556,3.437137,1
615,60194.1839,4,374.948822,4.267094,1
615,60194.1926,5,363.130493,12.845472,1
615,60197.1181,2,607.786804,3.960346,1
615,60197.1258,1,650.984314,4.970811,1
615,60197.1335,3,365.408752,3.197298,1
615,60197.1446,4,305.330750,3.360043,1
615,60197.1557,5,256.966217,6.443069,1
615,60198.1077,0,100.129280,4.266314,1
615,60199.0914,0,86.776741,4.679742,1
615,60200.0650,0,82.078186,4.342434,1
615,60201.0680,0,41.947815,4.467065,1
615,60202.0552,0,9.061676,3.831397,0
615,60206.1107,0,-83.072884,3.130236,1
615,60207.1469,0,108.483109,4.458607,1
615,60208.0229,2,-672.681335,4.138056,1
615,60208.0307,1,-1094.027588,6.717340,1
615,60208.0384,3,-503.870422,3.665424,1
615,60208.0495,4,-284.747498,3.666287,1
615,60208.0606,5,-176.409851,8.308295,1
615,60211.0124,2,208.281052,3.229784,1
615,60211.0202,1,-370.189575,4.525907,1
615,60211.0279,3,269.200806,3.688238,1
615,60211.0390,4,326.272308,4.424663,1
615,60211.0502,5,358.320099,10.152412,1
615,60221.0153,2,-648.682312,3.906177,1
615,60221.0230,1,-1086.777710,6.620100,1
615,60221.0308,3,-455.588196,3.295532,1
615,60221.0419,4,-145.305023,3.087424,1
615,60221.0530,5,2.939076,6.798505,0
615,60224.0140,2,491.748383,3.509416,1
615,60224.0217,1,346.335083,3.835582,1
615,60224.0294,3,384.185303,3.529593,1
615,60224.0405,4,381.953735,3.885009,1
615,60224.0516,5,378.118225,7.311360,1
615,60227.0151,2,341.057709,2.940147,1
615,60227.0228,1,356.632690,3.856145,1
615,60227.0305,3,153.004929,2.847803,1
615,60227.0416,4,52.912033,3.109148,1
